image_id;irma_code;05_class;05_irma_code_submask;06_class;06_irma_code;07_irma_code;08_irma_code
2182;1121-120-462-700;15;11-1-46-7;37;1121-120-462-700;1121-120-462-700;1121-120-462-700
2185;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2186;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2187;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2188;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2192;1121-120-421-700;25;11-1-42-7;50;1121-120-421-700;1121-120-421-700;1121-120-421-700
2193;1121-240-421-700;24;11-2-42-7;43;1121-240-421-700;1121-240-421-700;1121-240-421-700
2194;1121-120-442-700;27;11-1-44-7;49;1121-120-442-700;1121-120-442-700;1121-120-442-700
2196;1121-120-442-700;27;11-1-44-7;49;1121-120-442-700;1121-120-442-700;1121-120-442-700
2198;1121-240-413-700;19;11-2-41-7;79;1121-240-413-700;1121-240-413-700;1121-240-413-700
2199;1121-120-421-700;25;11-1-42-7;50;1121-120-421-700;1121-120-421-700;1121-120-421-700
2200;1121-240-421-700;24;11-2-42-7;43;1121-240-421-700;1121-240-421-700;1121-240-421-700
2201;1121-120-421-700;25;11-1-42-7;50;1121-120-421-700;1121-120-421-700;1121-120-421-700
2202;1121-120-463-700;15;11-1-46-7;29;1121-120-463-700;1121-120-463-700;1121-120-463-700
2203;1121-12f-467-700;15;11-1-46-7;78;1121-12f-467-700;1121-12f-467-700;1121-12f-467-700
2207;1121-240-441-700;28;11-2-44-7;41;1121-240-441-700;1121-240-441-700;1121-240-441-700
2211;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2212;1121-120-421-700;25;11-1-42-7;50;1121-120-421-700;1121-120-421-700;1121-120-421-700
2213;1121-240-433-700;31;11-2-43-7;66;1121-240-433-700;1121-240-433-700;1121-240-433-700
2217;1121-4a0-414-700;29;11-4-41-7;28;1121-4a0-414-700;1121-4a0-414-700;1121-4a0-414-700
2222;1121-120-441-700;27;11-1-44-7;44;1121-120-441-700;1121-120-441-700;1121-120-441-700
2224;1121-120-442-700;27;11-1-44-7;49;1121-120-442-700;1121-120-442-700;1121-120-442-700
2225;1121-240-442-700;28;11-2-44-7;53;1121-240-442-700;1121-240-442-700;1121-240-442-700
2226;1121-120-433-700;35;11-1-43-7;69;1121-120-433-700;1121-120-433-700;1121-120-433-700
2227;1121-240-433-700;31;11-2-43-7;66;1121-240-433-700;1121-240-433-700;1121-240-433-700
2228;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2229;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2233;1121-120-451-700;44;11-1-45-7;105;1121-120-451-700;1121-120-451-700;1121-120-451-700
2234;1121-230-451-700;50;11-2-45-7;\N;\N;\N;1121-230-451-700
2235;1121-120-437-700;35;11-1-43-7;100;1121-120-437-700;1121-120-437-700;1121-120-437-700
2236;1121-240-437-700;31;11-2-43-7;80;1121-240-437-700;1121-240-437-700;1121-240-437-700
2239;1121-120-452-700;44;11-1-45-7;103;1121-120-452-700;1121-120-452-700;1121-120-452-700
2240;1121-120-451-700;44;11-1-45-7;105;1121-120-451-700;1121-120-451-700;1121-120-451-700
2241;1121-240-438-700;31;11-2-43-7;107;1121-240-438-700;1121-240-438-700;1121-240-438-700
2242;1121-240-438-700;31;11-2-43-7;107;1121-240-438-700;1121-240-438-700;1121-240-438-700
2243;1121-240-437-700;31;11-2-43-7;80;1121-240-437-700;1121-240-437-700;1121-240-437-700
2244;1121-240-437-700;31;11-2-43-7;80;1121-240-437-700;1121-240-437-700;1121-240-437-700
2247;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2248;1121-120-453-700;44;11-1-45-7;\N;\N;\N;1121-120-453-700
2251;1121-120-463-700;15;11-1-46-7;29;1121-120-463-700;1121-120-463-700;1121-120-463-700
2253;1121-120-441-700;27;11-1-44-7;44;1121-120-441-700;1121-120-441-700;1121-120-441-700
2254;1121-240-441-700;28;11-2-44-7;41;1121-240-441-700;1121-240-441-700;1121-240-441-700
2255;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2256;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2257;1121-120-413-700;3;11-1-41-7;68;1121-120-413-700;1121-120-413-700;1121-120-413-700
2258;1121-240-421-700;24;11-2-42-7;43;1121-240-421-700;1121-240-421-700;1121-240-421-700
2259;1121-240-422-700;24;11-2-42-7;46;1121-240-422-700;1121-240-422-700;1121-240-422-700
2262;1121-120-463-700;15;11-1-46-7;29;1121-120-463-700;1121-120-463-700;1121-120-463-700
2263;1121-230-463-700;32;11-2-46-7;45;1121-230-463-700;1121-230-463-700;1121-230-463-700
2267;1121-4a0-414-700;29;11-4-41-7;28;1121-4a0-414-700;1121-4a0-414-700;1121-4a0-414-700
2270;1121-120-422-700;25;11-1-42-7;39;1121-120-422-700;1121-120-422-700;1121-120-422-700
2271;1121-240-422-700;24;11-2-42-7;46;1121-240-422-700;1121-240-422-700;1121-240-422-700
2272;1121-120-422-700;25;11-1-42-7;39;1121-120-422-700;1121-120-422-700;1121-120-422-700
2273;1121-240-422-700;24;11-2-42-7;46;1121-240-422-700;1121-240-422-700;1121-240-422-700
2274;1121-120-422-700;25;11-1-42-7;39;1121-120-422-700;1121-120-422-700;1121-120-422-700
2275;1121-240-422-700;24;11-2-42-7;46;1121-240-422-700;1121-240-422-700;1121-240-422-700
2276;1121-120-422-700;25;11-1-42-7;39;1121-120-422-700;1121-120-422-700;1121-120-422-700
2277;1121-240-422-700;24;11-2-42-7;46;1121-240-422-700;1121-240-422-700;1121-240-422-700
2280;1121-120-463-700;15;11-1-46-7;29;1121-120-463-700;1121-120-463-700;1121-120-463-700
2281;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2282;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2283;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2284;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2285;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2286;1121-120-462-700;15;11-1-46-7;37;1121-120-462-700;1121-120-462-700;1121-120-462-700
2287;1121-230-462-700;32;11-2-46-7;70;1121-230-462-700;1121-230-462-700;1121-230-462-700
2288;1121-230-462-700;32;11-2-46-7;70;1121-230-462-700;1121-230-462-700;1121-230-462-700
2289;1121-120-462-700;15;11-1-46-7;37;1121-120-462-700;1121-120-462-700;1121-120-462-700
2290;1121-210-453-700;50;11-2-45-7;\N;\N;\N;1121-210-453-700
2291;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2292;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2293;1121-120-422-700;25;11-1-42-7;39;1121-120-422-700;1121-120-422-700;1121-120-422-700
2296;1121-120-413-700;3;11-1-41-7;68;1121-120-413-700;1121-120-413-700;1121-120-413-700
2297;1121-490-413-700;29;11-4-41-7;\N;\N;\N;1121-490-413-700
2298;1121-120-421-700;25;11-1-42-7;50;1121-120-421-700;1121-120-421-700;1121-120-421-700
2299;1121-240-433-700;31;11-2-43-7;66;1121-240-433-700;1121-240-433-700;1121-240-433-700
2300;1121-120-421-700;25;11-1-42-7;50;1121-120-421-700;1121-120-421-700;1121-120-421-700
2301;1121-240-421-700;24;11-2-42-7;43;1121-240-421-700;1121-240-421-700;1121-240-421-700
2302;1121-120-421-700;25;11-1-42-7;50;1121-120-421-700;1121-120-421-700;1121-120-421-700
2303;1121-240-433-700;31;11-2-43-7;66;1121-240-433-700;1121-240-433-700;1121-240-433-700
2304;1121-120-421-700;25;11-1-42-7;50;1121-120-421-700;1121-120-421-700;1121-120-421-700
2305;1121-240-421-700;24;11-2-42-7;43;1121-240-421-700;1121-240-421-700;1121-240-421-700
2306;1121-120-421-700;25;11-1-42-7;50;1121-120-421-700;1121-120-421-700;1121-120-421-700
2307;1121-240-433-700;31;11-2-43-7;66;1121-240-433-700;1121-240-433-700;1121-240-433-700
2308;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2309;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2310;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2311;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2312;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2313;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2314;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2315;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2316;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2317;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2318;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2319;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2320;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2321;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2322;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2323;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2325;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2326;1121-110-415-700;3;11-1-41-7;81;1121-110-415-700;1121-110-415-700;1121-110-415-700
2327;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2328;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2330;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2331;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2332;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2333;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2334;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2335;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2336;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2337;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2338;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2339;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2340;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2341;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2342;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2343;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2344;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2345;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2346;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2347;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2349;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2350;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2351;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2354;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2356;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2357;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2358;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2359;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2360;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2361;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2362;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2363;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2364;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2365;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2366;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2367;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2368;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2370;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2371;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2372;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2373;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2374;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2375;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2376;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2377;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2378;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2379;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2382;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2383;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2384;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2386;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2387;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2388;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2389;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2390;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2391;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2392;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2393;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2394;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2396;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2397;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2398;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2399;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2400;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2401;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2402;1121-110-415-700;3;11-1-41-7;81;1121-110-415-700;1121-110-415-700;1121-110-415-700
2405;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2406;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2407;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2408;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2409;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2413;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2415;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2416;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2417;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2418;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2419;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2420;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2421;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2422;1121-110-414-700;3;11-1-41-7;5;1121-110-414-700;1121-110-414-700;1121-110-414-700
2423;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2424;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2425;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2426;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2427;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2428;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2429;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2430;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2431;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2432;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2433;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2434;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2436;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2437;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2438;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2439;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2440;1121-120-463-700;15;11-1-46-7;29;1121-120-463-700;1121-120-463-700;1121-120-463-700
2442;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2443;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2444;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2446;1121-230-463-700;32;11-2-46-7;45;1121-230-463-700;1121-230-463-700;1121-230-463-700
2447;1121-110-411-700;3;11-1-41-7;11;1121-110-411-700;1121-110-411-700;1121-110-411-700
2448;1121-200-411-700;19;11-2-41-7;13;1121-200-411-700;1121-200-411-700;1121-200-411-700
2449;1121-230-463-700;32;11-2-46-7;45;1121-230-463-700;1121-230-463-700;1121-230-463-700
2450;1121-230-463-700;32;11-2-46-7;45;1121-230-463-700;1121-230-463-700;1121-230-463-700
